name,provider_name,abn,slug,email,phone,website,government_listing_url,address_line_1,address_line_2,suburb,state,postcode,latitude,longitude,status,source_primary,facility_type,beds,one_line_description,long_description,overview_heading,provider_overview,accommodation_summary,pricing_summary,care_types,specialties,languages,room_types,feature_tags,other_tags,hero_badges,services_included,amenities,allied_health,food_highlights,visiting_hours,admissions_process,waiting_list_summary,transport_notes,nearby_hospitals,faq_items,review_summary,review_count,primary_photo_url,gallery_image_urls,rad_from,rad_to,dap_from,dap_to,availability_status,active_vacancies,website_says_vacancies,website_checked_at,website_source_url,facility_confirmed_vacancies,facility_confirmed_at,facility_confirmation_source,conflict_flag,verified_at,last_profile_scan_at,internal_notes,facility_row_id,primary_photo_id,gallery_photo_ids,primary_photo_local_path,gallery_photo_local_paths
Infinite Care Ashmore,Shalimah Aust Pty Ltd,,infinite-care-ashmore,ashmorefm@infin8care.com.au,07 5656 1000,http://www.infin8care.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/g33bg6cl-shalimah-aust-pty-ltd/aged-care-homes/infinite-care-ashmore-hf2fpclt,19 Allunga Avenue,,ASHMORE,QLD,4214,,,active,myagedcare,residential_aged_care,,,Infinite Care Ashmore is situated in peaceful suburban surroundings on the sunny Gold Coast. This two-level residence includes the added feature of nostalgic ‘Juliet balconies’ from which to enjoy the dramatic manicured gardens from the comfort of the bedrooms.,,,,,,,,Availability|Superior|Signature|Penthouse 2 Bedroom Apartment|Deluxe Room|Penthouse Apartment 1 Bedroom|Signature Plus|Classic|Companion Room|Classic,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 69% satisfaction; prepared onsite,,,,,,,,,,,,,120.51,157.19,unknown,,unknown,,,unknown,,,,,2026-03-19T09:59:02.040Z,,,,,,
Estia Health Gold Coast,Estia Investments Pty Ltd,,estia-health-gold-coast,admissions@estiahealth.com.au,1300 682 833,https://www.estiahealth.com.au/our-homes/qld-brisbane/gold-coast/,https://www.myagedcare.gov.au/find-a-provider/search/s669mlyw-estia-investments-pty-ltd/aged-care-homes/estia-health-gold-coast-ml3shnfnn,34 Scarborough Street,,SOUTHPORT,QLD,4215,,,active,myagedcare,residential_aged_care,,,"Estia Health Gold Coast is a modern home in the perfectly located 35-level Victoria Towers, with views of Main Beach skyline, ocean glimpses and Southport Marina Mirage. Set back from the Broadwater, the home sits in the heart of Southport, with shopping centres, clubs, restaurants, cinema and medical services all in easy reach, including the local RSL next door. The bus stop is nearby and the light rail is less than two minutes’ walk.",,,,,,,,Availability|Currently available|Single room + ensuite,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 65% satisfaction; prepared onsite,,,,,,,,,,,,,122.61,122.61,unknown,,unknown,,,unknown,,,,,2026-03-19T09:59:17.354Z,,,,,,
Bupa Merrimac,Bupa Aged Care Australia Pty Ltd,,bupa-merrimac,agedcare@bupa.com.au,1800 718 336,https://www.bupaagedcare.com.au/aged-care-homes/bupa-merrimac,https://www.myagedcare.gov.au/find-a-provider/search/yv8v7rl-bupa-aged-care-australia-pty-ltd/aged-care-homes/bupa-merrimac-hwtcvbb,3-5 Glenhaven Court,,MERRIMAC,QLD,4226,,,active,myagedcare,residential_aged_care,,,"Discover Bupa Merrimac, a charming care home in the heart of the Gold Coast. You’ll be close to the local community with the hospital and Robina Town Shopping Centre nearby.",,,,,,,,Availability|Superior|Classic|Classic patio,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 48% satisfaction; prepared onsite,,,,,,,,,,,,,133.09,136.23,unknown,,unknown,,,unknown,,,,,2026-03-19T09:59:32.748Z,,,,,,
Bolton Clarke Buderim Views,RSL Care RDNS Limited,,bolton-clarke-buderim-views,buderimviewsrac@boltonclarke.com.au,07 5477 9100,http://www.boltonclarke.com.au/living-options/residential-aged-care/buderim-views/,https://www.myagedcare.gov.au/find-a-provider/search/mdfydrz2yf-rsl-care-rdns-limited/aged-care-homes/bolton-clarke-buderim-views-ktn1xpvm54,383 Mooloolaba Road,,BUDERIM,QLD,4556,,,active,myagedcare,residential_aged_care,,,"As Australia’s largest independent not-for-profit aged care provider, Bolton Clarke is shaping the future of positive ageing. Our homes are welcoming and safe communities where lifestyle, social connection and individual interests are celebrated, and quality care comes from the heart. Located in beautiful Sunshine Coast suburb of Buderim, Buderim Views is a Premium home that provides high-quality aged care in a friendly, secure and comfortable residential environment. Our home provides the peace-of-mind of having a Registered Nurse on duty 24/7. Working together with you and your family, we provide personalised care that responds as needs change, including highly specialised care and dementia support, with wellness programs created around your preferences. Buderim Views hosts a variety of activities, events and outings.",,,,,Dementia,,,Availability|Deluxe|Superior,,,,Nursing|Medication management|Dietitian,,,$15/day spend; 79% satisfaction; prepared onsite,,,,,,,,,,,,,149.86,150.90,unknown,,unknown,,,unknown,,,,,2026-03-19T09:59:33.184Z,,,,,,
Tricare Cypress Gardens Aged Care Residence,TriCare Aged Care Pty Ltd,,tricare-cypress-gardens-aged-care-residence,agedcare@tricare.com.au,07 3360 9011,https://www.tricare.com.au/aged-care/gold-coast/cypress-gardens-aged-care-residence/,https://www.myagedcare.gov.au/find-a-provider/search/1x7l8wq451-tricare-aged-care-pty-ltd/aged-care-homes/tricare-cypress-gardens-aged-care-residence-p3zfynvrtf,0 Gooding Drive,,CLEAR ISLAND WATERS,QLD,4226,,,active,myagedcare,residential_aged_care,,,,,,,,Palliative,,,Availability|Superior Single Room with Private Ensuite|Premium Single Studio with Private Ensuite|Superior Single room with Shared Ensuite|Superior Companion Room with Shared Ensuite|Superior Single room with Shared Ensuite,,,,Nursing|Medication management,,,,,,,,,,,,,,,,94.32,136.23,unknown,,unknown,,,unknown,,,,,2026-03-19T09:59:47.624Z,,,,,,
Estia Health Gold Coast,Estia Investments Pty Ltd,,estia-health-gold-coast,admissions@estiahealth.com.au,1300 682 833,https://www.estiahealth.com.au/our-homes/qld-brisbane/gold-coast/,https://www.myagedcare.gov.au/find-a-provider/search/s669mlyw-estia-investments-pty-ltd/aged-care-homes/estia-health-gold-coast-ml3shnfnn,34 Scarborough Street,,SOUTHPORT,QLD,4215,,,active,myagedcare,residential_aged_care,,,"Estia Health Gold Coast is a modern home in the perfectly located 35-level Victoria Towers, with views of Main Beach skyline, ocean glimpses and Southport Marina Mirage. Set back from the Broadwater, the home sits in the heart of Southport, with shopping centres, clubs, restaurants, cinema and medical services all in easy reach, including the local RSL next door. The bus stop is nearby and the light rail is less than two minutes’ walk.",,,,,,,,Availability|Currently available|Single room + ensuite,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 65% satisfaction; prepared onsite,,,,,,,,,,,,,122.61,122.61,unknown,,unknown,,,unknown,,,,,2026-03-19T10:00:03.402Z,,,,,,
Labrina Village Residential Care,Southern Cross Care (SA NT & VIC) Incorporated,,labrina-village-residential-care,connecting.services@southerncrosscare.com.au,1800 852 772,https://www.southerncrosscare.com.au/locations/labrina-village-residential-care,https://www.myagedcare.gov.au/find-a-provider/search/rddtr9mk-southern-cross-care-sa-nt-and-vic-incorporated/aged-care-homes/labrina-village-residential-care-kwswypk1,63-71 Labrina Avenue,,PROSPECT,SA,5082,,,active,myagedcare,residential_aged_care,,,"With the highest quality facilities and an engaging environment, Labrina Village Residential Care is a place you can call home. Offering 40 individual rooms, all with private en-suites, kitchenettes and the latest in nurse call technology, you can trust that you will receive the right care. Residents can enjoy chef-cooked meals, prepared on site, which cater for special dietary requirements. Outdoor areas and the atrium garden offer comfortable areas to relax and socialise with family and friends. Care: Our team of qualified staff provide care to suit the level and complexity of individual needs. Lifestyle: We offer a broad lifestyle program designed to accommodate individual needs. Southern Cross Care’s whole-person approach means that we also cater to the spiritual needs of our communities. The chapel caters to all faiths and denominations. Pastoral care staff are also available to provide counselling and social support to our residents and families.",,,,,,,,Availability|Currently available|Single room + private ensuite|Single room + private ensuite,,,,Nursing|Medication management|Dietitian,,,$16/day spend; 50% satisfaction; prepared onsite,,,,,,,,,,,,,126.88,149.95,unknown,,unknown,,,unknown,,,,,2026-03-19T10:00:18.768Z,,,,,,
Blue Care Kingaroy Canowindra Aged Care Facility,UnitingCare Queensland Limited,,blue-care-kingaroy-canowindra-aged-care-facility,r.services@bluecare.org.au,1800 838 929,https://www.bluecare.org.au/aged-care-homes/locations/kingaroy-canowindra,https://www.myagedcare.gov.au/find-a-provider/search/1ssg18q4-unitingcare-queensland-limited/aged-care-homes/blue-care-kingaroy-canowindra-aged-care-kwswzrf3,43 WINDSOR Circle,,KINGAROY,QLD,4610,,,active,myagedcare,residential_aged_care,,,,,,,,Dementia,,,Availability|Room 1 - Single room + private ensuite|Room 2 - Single room + shared ensuite|Room 2 - Single room + shared ensuite,,,,Nursing|Medication management,,,,,,,,,,,,,,,,100.60,106.89,unknown,,unknown,,,unknown,,,,,2026-03-19T10:00:31.156Z,,,,,,
Tricare Cypress Gardens Aged Care Residence,TriCare Aged Care Pty Ltd,,tricare-cypress-gardens-aged-care-residence,agedcare@tricare.com.au,07 3360 9011,https://www.tricare.com.au/aged-care/gold-coast/cypress-gardens-aged-care-residence/,https://www.myagedcare.gov.au/find-a-provider/search/1x7l8wq451-tricare-aged-care-pty-ltd/aged-care-homes/tricare-cypress-gardens-aged-care-residence-p3zfynvrtf,0 Gooding Drive,,CLEAR ISLAND WATERS,QLD,4226,,,active,myagedcare,residential_aged_care,,,,,,,,Palliative,,,Availability|Superior Single Room with Private Ensuite|Premium Single Studio with Private Ensuite|Superior Single room with Shared Ensuite|Superior Companion Room with Shared Ensuite|Superior Single room with Shared Ensuite,,,,Nursing|Medication management,,,,,,,,,,,,,,,,94.32,136.23,unknown,,unknown,,,unknown,,,,,2026-03-19T10:00:33.873Z,,,,,,
Harbour Quays Residential Aged Care,Provectus Care Pty Limited,,harbour-quays-residential-aged-care,fm@hqac.com.au,07 5655 3200,http://www.hqac.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/5jz6z4hwb-provectus-care-pty-limited/aged-care-homes/harbour-quays-residential-aged-care-9tcq4l8cv,36 COMPASS Drive,,BIGGERA WATERS,QLD,4216,,,active,myagedcare,residential_aged_care,,,,,,,,Dementia,,,Availability|Classic B|Signature 3|Signature 2|Signature 1|Premier (Accessible Double)|Double A Deluxe|Premier|Premier+,,,,Nursing|Medication management|Dietitian,,,$15/day spend; 80% satisfaction; prepared onsite,,,,,,,,,,,,,173.01,212.78,unknown,,unknown,,,unknown,,,,,2026-03-19T10:00:50.232Z,,,,,,
Jimbelunga Nursing Centre,,,jimbelunga-nursing-centre,belinda.charles@atsichsbrisbane.org.au,07 3807 0655,http://www.jimbelunga.org.au/,https://www.myagedcare.gov.au/find-a-provider/search/yqqsyh84-aboriginal-and-torres-strait-islander-community/aged-care-homes/jimbelunga-nursing-centre-g3j3vg18,259 River Hills Road,,EAGLEBY,QLD,4207,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Currently available|Single Room with Shared Bathroom|Single Room with Private Ensuite|Single Room with Private Ensuite|Single Room with Shared Ensuite|Currently available|Single Room with Shared Ensuite,,,,Nursing|Medication management|Dietitian,,,$21/day spend; 47% satisfaction; prepared onsite,,,,,,,,,,,,,73.36,94.32,unknown,,unknown,,,unknown,,,,,2026-03-19T10:01:06.634Z,,,,,,
Tweed River Care Community,DPG Services Pty Ltd,,tweed-river-care-community,contact.centre@opalhealthcare.com.au,07 5590 2800,https://www.opalhealthcare.com.au/residential-aged-care/tweed-river,https://www.myagedcare.gov.au/find-a-provider/search/ckkzcf9s-dpg-services-pty-ltd/aged-care-homes/tweed-river-care-community-yqdq1cqt,7-9 FLORENCE Place,,TWEED HEADS,NSW,2485,,,active,myagedcare,residential_aged_care,,,"Tweed River Care Community is conveniently located in the centre of Tweed Heads, our Care Community is within minutes of Tweed Mall Shopping Centre, Tweed Heads Bowls Club and the beautiful beaches of the region. Our cafe is a lovely inviting spot to catch up with visiting family and friends. Our new on-site wellness centre is a great place for residents to stay active, with an expert team of physiotherapists, exercise physiologists and occupational therapists from our wellness partner, HCA, help residents achieve their mobility, independence or wellbeing goals.",,,,,Dementia,,,Availability|Premium|Deluxe|Classic|Superior|Premium Suite,,,,Nursing|Medication management|Dietitian,,,$13/day spend; 54% satisfaction; prepared onsite,,,,,,,,,,,,,115.27,151.95,unknown,,unknown,,,unknown,,,,,2026-03-19T10:01:22.387Z,,,,,,
Ozcare Parkwood Gardens,Ozcare,,ozcare-parkwood-gardens,carefacility.parkwoodgardens@ozcare.org.au,1800 692 273,http://www.ozcare.org.au/aged-care/aged-care-facilities/facilities/parkwood-gardens-labrador/,https://www.myagedcare.gov.au/find-a-provider/search/hwwrkw3p-ozcare/aged-care-homes/ozcare-parkwood-gardens-wx6xd23c,100 USHER Avenue,,LABRADOR,QLD,4215,,,active,myagedcare,residential_aged_care,,,"Architecturally designed, Parkwood Gardens is a modern facility that takes advantage of cool sea breezes with large open verandahs and courtyards overlooking beautifully lush gardens and walking paths.",,,,,,,,Availability|Currently available|Single room with private ensuite|Currently available|Shared room with ensuite,,,,Nursing|Medication management|Dietitian,,,$21/day spend; 84% satisfaction; prepared onsite,,,,,,,,,,,,,75.45,115.27,unknown,,unknown,,,unknown,,,,,2026-03-19T10:01:37.747Z,,,,,,
Paradise Lakes Care Centre,Vanguard Care Communities Pty Ltd,,paradise-lakes-care-centre,admin@paradiselakescarecentre.com.au,07 5537 8488,https://www.paradiselakescarecentre.com.au/,https://www.myagedcare.gov.au/find-a-provider/search/96kygz9wyq-vanguard-care-communities-pty-ltd/aged-care-homes/paradise-lakes-care-centre-524sb032dy,360 OXLEY Drive,,COOMBABAH,QLD,4216,,,active,myagedcare,residential_aged_care,,,,,,,,,,,Availability|Single with Ensuite,,,,Nursing|Medication management,,,,,,,,,,,,,,,,94.32,94.32,unknown,,unknown,,,unknown,,,,,2026-03-19T10:01:47.886Z,,,,,,
Blue Care Hollingsworth Elders Village,UnitingCare Queensland Limited,,blue-care-hollingsworth-elders-village,r.services@bluecare.org.au,1800 838 929,https://www.unitingcareqld.com.au/services-and-support/aged-care/hollingsworth-elders-village,https://www.myagedcare.gov.au/find-a-provider/search/l88xqnbq-unitingcare-queensland-limited/aged-care-homes/blue-care-hollingsworth-elders-village-32m2dcw6,269-277 HARTLEY Street,,PORTSMITH,QLD,4870,,,active,myagedcare,residential_aged_care,,,,,,,,Residential respite|Dementia,,,Availability|Room 1 - Single room + private ensuite|Room 2 - Single room + shared ensuite|Room 2 - Single room + shared ensuite,,,,Nursing|Medication management,,,,,,,,,,,,,,,,71.26,85.93,unknown,,unknown,,,unknown,,,,,2026-03-19T10:01:49.529Z,,,,,,
Uniting Kingscliff,UNITING (NSW.ACT),,uniting-kingscliff,macsystemspecialists@uniting.org,1800 864 846,https://uniting.org/services/aged-care-services/facility/uniting-kingscliff,https://www.myagedcare.gov.au/find-a-provider/search/jttlxrps-uniting-nsw-act/aged-care-homes/uniting-kingscliff-1s2n1pr5j,24A KINGSCLIFF Street,,KINGSCLIFF,NSW,2487,,,active,myagedcare,residential_aged_care,,,"Located in the beautiful seaside suburb of Kingscliff on the NSW far north coast, our supportive and welcoming aged care home offers round-the-clock comfort and peace of mind.",,,,,Dementia,,,Availability|Secure Comfort Living|Comfort Living (renovated)|Secure Comfort Living (renovated)|Comfort Living|Companion Living|Companion Living|Comfort Living,,,,Nursing|Medication management|Dietitian,,,$17/day spend; 93% satisfaction; prepared onsite,,,,,,,,,,,,,72.31,86.98,unknown,,unknown,,,unknown,,,,,2026-03-19T10:02:03.545Z,,,,,,
Blackwater Hospital Multipurpose Health Service,Central Queensland Hospital and Health Service,,blackwater-hospital-multipurpose-health-service,shastee.walmsley@health.qld.gov.au,07 4980 1800,,https://www.myagedcare.gov.au/find-a-provider/search/2rrjxv50-central-queensland-hospital-and-health-service/aged-care-homes/blackwater-hospital-multipurpose-health-g3z8sy8zy,41 MACKENZIE Street,,BLACKWATER,QLD,4717,,,active,myagedcare,residential_aged_care,,,,,,,,,,,,,,,Nursing|Medication management,,,,,,,,,,,,,,,,,,unknown,,unknown,,,unknown,,,,,2026-03-19T10:02:13.811Z,,,,,,
Tweed Valley Care Community,DPG Services Pty Ltd,,tweed-valley-care-community,contact.centre@opalhealthcare.com.au,07 5599 6900,https://www.opalhealthcare.com.au/residential-aged-care/tweed-valley,https://www.myagedcare.gov.au/find-a-provider/search/ckkzcf9s-dpg-services-pty-ltd/aged-care-homes/tweed-valley-care-community-rdbdg7yx,1 Carramar Drive,,TWEED HEADS WEST,NSW,2485,,,active,myagedcare,residential_aged_care,,,"Tweed Valley Care Community is set at the beautiful Terranora Valley, our Care Community enjoys a peaceful location while still being close to everything the coastal lifestyle has to offer. We offer country hospital and a warm and inclusive environment. There are many peaceful courtyards for residents to sit and connect with family and friends. Inside you’ll find comfortable lounge areas, games room and an extensive library to enjoy a good book.",,,,,,,,Availability|Premium|Superior|Classic|Superior Companion|Classic Companion|Standard Companion,,,,Nursing|Medication management|Dietitian,,,$12/day spend; 81% satisfaction; prepared onsite,,,,,,,,,,,,,92.27,109.58,unknown,,unknown,,,unknown,,,,,2026-03-19T10:02:18.880Z,,,,,,
Arcare Maroochydore,Arcare Pty Ltd,,arcare-maroochydore,desleigh.fabian@arcare.com.au,1300 272 273,http://www.arcare.com.au/care/arcare-maroochydore/,https://www.myagedcare.gov.au/find-a-provider/search/p717tjb-arcare-pty-ltd/aged-care-homes/arcare-maroochydore-3f4qj2,,,,QLD,4558,,,active,myagedcare,residential_aged_care,,,,,,,,Residential respite|Dementia,,,Availability|Premiere|Premiere plus|Deluxe|Grande,,,,Nursing|Medication management|Dietitian,,,$14/day spend; 71% satisfaction; prepared onsite,,,,,,,,,,,,,130.99,151.95,unknown,,unknown,,,unknown,,,,,2026-03-19T10:02:30.238Z,,,,,,
